Origin	Trademark	logo	International Classes	Status	Application No	Application Date	Registration No	Registration Date	Next Renewal Due	他项权利	Registered Owner	certificate
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
CTM	MISS SIXTY		3, 9, 14, 18, 25, 29, 30, 32, 33, 43	Registered	2530590	10-Jan-2002	2530590	10-Jul-2003	10-Jan-2022	无	MISS SIXTY INVESTMENTS SA	
	MISS SIXTY		9, 18	Registered	200912192	24-Nov-2009	257223	20-Oct-2010	20-Oct-2020	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		18	Registered	2007/030355	05-Sep-2007	26255	11-May-2008	10-May-2022	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	2007/030183	05-Sep-2007	26298	26-May-2008	25-May-2022	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		14	Registered	2007/030184	05-Sep-2007	26309	26-May-2008	25-May-2022	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3	Registered	2007/030186	05-Sep-2007	27062	31-Dec-2008	30-Dec-2022	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		9	Registered	2007/030252	05-Sep-2007	27063	31-Dec-2008	30-Dec-2022	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		18	Registered	06/05187	06-Mar-2006	295499	15-Dec-2006	15-Dec-2026	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		18	Registered	19750	20-Sep-2004	32051	20-Sep-2004	20-Sep-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	40916	08-Oct-2007	33248	11-Oct-2008	08-Oct-2017	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	34796	11-Mar-2004	34796	30-Sep-2005	10-Mar-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	349.814	01-Sep-2003	349.814	16-Jun-2009	16-Jun-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		18	Registered	369634	21-Mar-2006	369634	07-Jan-2009	07-Jan-2019	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		9	Registered	09-076583	23-Jul-2009	394940	29-Jan-2010	29-Jan-2020	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3	Registered	41904	17-Jul-2004	41904	17-Jul-2004	17-Jul-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	05-074131	28-Jul-2005	433549	30-Sep-2011	30-Sep-2021	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		3	Registered	45421	05-Jul-2004	45421	05-Jul-2004	05-Jul-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	44874	09-Feb-2004	44874	09-Feb-2004	09-Feb-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		18	Registered	3200401516	06-Oct-2004	50697	30-Mar-2005	06-Oct-2024	无	SIXTY INTERNATIONAL S.A.	
	MISS SIXTY		25	Registered	0209532	19-Jan-2009	4866	09-Jul-2009	09-Jul-2019	无	SIXTY INTERNATIONAL S.A.	
